headline,labels
Hành khách 'đại náo' bằng miệng khiến Tề Thiên cũng phải bái phục,1
'Giật gân' về sự lạc hậu của y tế,1
Tham nhũng vặt luôn có mặt trên từng cây số,1
Đảo Ngọc ngập nhờ... nước,1
Luật 'đá' luật,1
Khi đại dương lên tiếng,1
5 năm rưỡi không tiếp dân ngày nào!,1
Mạng người chả quý bằng xe,1
Biếm họa: Tội nghiệp thằng ống hút...,1
Biếm họa: chọn ngành hay để ngành chọn mình?,1
Cử tri nhớn nhác hỏi nhau: Đại diện của tớ đi đâu mất rồi?,1
Xe công việc tư,1
Biếm họa 'thể thao khiêu dâm',1
Mày biết tao là ai không?,1
Lọc lừa có bữa cá tra 'phản thùng',1
"Chờ đủ kinh nghiệm, 'thôi rồi Lượm ơi!'",1
Luật lệ lỏng lẻo béo cho kẻ lừa,1
Tham nhũng vặt 'có mặt trên từng cây số',1
Vì sao chúng ta cần phải học tiếng Anh,1
Ôn thi xưa và nay,1
"Chim thần ăn khế trả hóa đơn tiền điện, lời quá lời!",1
Khi khẩu vị 'cãi lộn' với Michelin,1
Gỏi gà măng cụt sẽ kéo dài trong bao lâu?,1
Vì sao sếp tôi mua ô tô điện?,1
'Cục gạch' lại lên ngôi mùa cúp điện,1
Năm học thành công tốt đẹp,1
Khoe con: Con mà là số 2 thì không ai số 1,1
Con tui là học sinh giỏi nè!,1
Bạn cũ lâu ngày không gặp,1
"Cầu thủ cúp điện ra sân, đội bạn đầu hàng ngay từ đầu",1
Ông bố té ngửa vì lời nói đầu đời của con trai,1
"Cục nợ đến từ hư vô: Crush làm, cam chịu!",1
Tuổi Trẻ Cười số 15-6-2023: Cúp điện và có điện luân phiên,1
Sinh viên người nhện có việc làm 100%,1
'Giải pháp chống ngập bằng lu' qua con mắt họa sĩ biếm,1
Thủ khoa 6 giây,1
Phúc XO - Thật thật giả giả,1
Chủ tịch giả nghèo và cái kết,1
10 biện pháp vui để hạ giá xăng dầu,1
Cái kết đắng của những người cái gì cũng muốn miễn phí,1
Bán bò tậu được ếch ương,1
Con mèo mà trèo cây cau,1
Xứ hoa thành 'xứ họa',1
Biếm họa về 'đại gia điếu cày',1
"Công ty bị thanh tra, kiểm tra đến 138 lần!",1
Hỏi ra mới biết BOT ăn hết rồi,1
Tiếng gáy con gà trống làm 'dậy sóng' nước Pháp,1
Xây sân bay 'thỏa mãn khâu oai',1
Cây ngay sợ gì chết đứng?,1
Đánh thuế điện thoại,1
Biếm họa: Giang hồ cõi mạng,1
Mất bằng cưỡi ngựa thì phải học lại,1
Khi người Việt đổ thừa,1
Biếm họa siêu xe quái thú tại Việt Nam,1
Mùa xuân có hội chợ cười!,1
Hội khoe con đến hẹn lại lên: Học sinh giỏi tràn ngập mạng xã hội,1
Bi hài 'đại học mầm non' có tỉ lệ chọi cao ngất ngưởng,1
Ôtô đậu trước cửa nhà: Ai cũng có cái lý của mình,1
Văn hóa giao thông 'tiện nhưng không lợi',1
Giá như ai cũng... đầy bình,1
'Cò đặc sản' làm xấu hình ảnh Đà Lạt,1
Đi du lịch vừa chen lấn ê ẩm vừa lo 'có quà mang về',1
Quan chức bị bệnh gì lạ ghê!,1
"Quan chức, cò môi giới... cạnh tranh mua nhà ở xã hội với người nghèo",1
Bà con hụt hẫng với miếng 'bánh vẽ' 134.000 căn hộ nhà ở xã hội,1
Một cuộc 'đi săn' nhà ở xã hội,1
Bạn sẽ làm gì nếu được trở về tuổi thơ trong 24 giờ?,1
Nghịch lý từ trong bụng mẹ đến khi đi mua nhà ở xã hội,1
"Sinh viên có việc làm cao ngất ngưởng, nhiều ngành đạt 100%",1
Lý do mất ngủ của sinh viên,1
Nghịch lý lớp 1: Con gà có trước hay quả trứng có trước?,1
"Làm đẹp học bạ, làm hại học sinh",1
Làm đẹp học bạ: Xạo với nhân gian một điểm mười,1
Mâu thuẫn khi cha mẹ chọn ngành nghề đại học thay con,1
Thí sinh 2022: Ráng xíu nữa là đậu đại học rồi!,1
10 lý do không tậu bằng tiến sĩ: Tui dốt chứ không có dại!,1
Nếu cứ nghiên cứu là trở thành tiến sĩ...,1
Chim ưng gọi đại bàng: Hãy tiết kiệm điện ngay!,1
"Trời hanh vật khô, cẩn thận... cắt điện",1
Thần tiên hục hặc vì cúp điện,1
Ô tô điện 'nửa nạc nửa mỡ' thời cúp điện,1
Chiến thuật tiết kiệm điện... 'đi vào lòng đất',1
Một nạn nhân bị sốc nhiệt cuối tháng,1
"Đau đầu với điện, nước mùa nóng",1
Quạt mo thương hiệu Thằng Bờm cháy hàng,1
Mùa hè về trên những chiếc yên xe,1
Nắng nóng thay đổi cả truyện cổ tích,1
Giải nóng mùa hè: Tuy buồn nhưng... mát,1
Tôi đi ăn sáng thời giá điện tăng,1
Điện thiếu trong thế thừa,1
Tuổi Trẻ Cười số 15-5-2023: Chân dung ông sếp 3 sợ,1
Tuổi Trẻ Cười số 1-5-2023: Khi bạo lực 'tấn công' thành tích,1
"Người già 'tích tắc', người trẻ 'tóp tóp'",1
Trào lưu thiếu muối trên TikTok,1
Làm giàu không khó trong thời đại 4.0,1
Người đàn ông bơ vơ vì tiết kiệm điện,1
Bạo lực học đường: Tốt khoe xấu che,1
Nhà Chuột bị chê phá nát tuổi thơ của bao thế hệ,1
"Đến lượt công chúa tóc mây Disney có bản người đóng, nhan sắc nữ chính gây tranh cãi chả kém Nàng Tiên Cá",1
Chế giễu ngoại hình từ câu chuyện về nàng tiên cá da màu trên phim,1
Lãnh Thanh bị chê diễn đơ trong Nơi Giấc Mơ Tìm Về,1
Nhân vật vô lý nhất phim Cuộc Đời Vẫn Đẹp Sao,1
Phim Việt càng dài càng đuối,1
Phim doanh thu 0 đồng vì cặp nam chính chuyên đóng hài nhảm,1
Phim mới của Địch Lệ Nhiệt Ba chạm đáy rating,1
Câu thoại táo bạo của Jennie (BLACKPINK) trở thành chủ đề nóng,1
Tài tử ngất xỉu khi đóng cảnh bị bạn diễn nữ bóp cổ,1
4 mẫu sandal bạn nên từ bỏ,1
4 kiểu áo ''dìm dáng'' người mặc,1
"Brand của Linh Ngọc Đàm bị shop Taobao ''trộm'' thiết kế: Bê nguyên ảnh mẫu đi quảng cáo, còn bán giá rẻ hơn gấp 10 lần",1
Tuyển Thái Lan bị đối thủ đứng dưới 42 bậc trên BXH FIFA cầm chân,1
"Thua ĐT Việt Nam, HLV ĐT Hong Kong (Trung Quốc) đổ lỗi cho trọng tài",1
"CĐV ra về sớm, buồn phiền với màn trình diễn của đội tuyển Việt Nam",1
Chủ tịch PSG gọi Mbappe là 'kẻ phản bội',1
"Ngôi sao Man City bị HLV Pep Guardiola đối xử phũ phàng, tước quyền nhận HCV Champions League",1
Mbappe sút vỡ mặt khán giả nữ,1
Bảng xếp hạng 10 CLB mạnh nhất châu Âu: Man City bỏ xa MU,1
"Đầu tư chứng khoán qua Facebook, cô gái mất trắng 1,3 tỷ đồng",1
"Mang tăm xỉa răng dùng nhiều năm đi thẩm định, người đàn ông không dám ăn cơm khi nghe chuyên gia tiết lộ sự thật",1
Tú ông điều hành đường dây gái gọi 'Boss Long Xuyên' bị bắt giữ,1
"Quả dứa giá 350 triệu đồng là giống hiếm, được trồng bằng... nước tiểu ngựa",1
Trang Nemo lĩnh án 9 tháng tù,1
Người phụ nữ bị đâm tử vong tại chỗ do mâu thuẫn khi mua bán bò,1
"Bộ ảnh cho thấy cuộc sống không như mơ ở New York: Thực phẩm đắt đỏ, đâu đâu cũng đông đúc, thiếu vệ sinh",1
Lại xuất hiện hành vi lừa đảo làm dịch vụ BHXH ở TP.HCM,1
Dương Lệ Bình lên tiếng về điệu múa chim công gợi dục,1
"Người phụ nữ nguy kịch, phải thở máy sau khi quan hệ tình dục",1
Đình chỉ công việc nhân viên sân bay phát ngôn phản cảm khi phục vụ khách khuyết tật,1
Người mẹ sinh 5 đầu tiên ở Việt Nam bức xúc thông tin 5 chồng đẻ 5 con,1
Ranh giới giữa nghệ thuật và dung tục vụ 'Vua Nệm' thành 'Vua Nện': Cần nghiêm khắc hơn với quảng cáo phản cảm,1
"Kỳ lạ hồ nước đẹp như tranh vẽ, nhưng từng giết gần 2.000 người trong một đêm",1
Tại sao những bộ phim báo thù như The Glory lại hấp dẫn người xem đến vậy và liệu chúng có cổ xúy cho tâm lý trả thù tiêu cực?,1
Cặp đôi Vbiz kết hôn sau 5 năm chia ly - tái hợp: Xung đột căng thẳng hơn sau khi có con,1
Đạo diễn 'yêu râu xanh' phải rút khỏi giới giải trí vì quấy rối tình dục nhiều sinh viên nữ,1
Vợ cũ Đan Trường khoe ảnh gia đình hạnh phúc dù đã 'đường ai nấy đi',1
"Diễn viên Việt lên hương nhờ vai diễn sở khanh, là ông chủ của chuỗi nhà hàng hơn 100 chi nhánh",1
"Ngọc nữ Nhật Bản bị hủy phim, nhãn hàng gạch tên sau vụ ngoại tình",1
Cảnh lãng mạn hóa lãng xẹt trong phim Ấn Độ,1
Vợ cầm roi đến tận bàn bi-a gọi chồng về,1
1.001 cách gian lận của sinh viên Nhật,1
Thanh niên bị nghiệp quật vì cười bạn trượt cầu thang,1
Chú rể ngất xỉu khi thấy mặt mộc cô dâu,1
Chồng không dám ăn vì vợ chụp ảnh sống ảo,1
Thanh niên ăn sạch nho của tiệm khi nghe điện thoại,1
Cô gái hốt hoảng nhìn bộ lông mày mới,1
Chồng nhảy cùng người đẹp khiến vợ nóng mắt,1
Người đàn ông rơi xuống nước vì mải 'làm màu',1
Rashford tắt tivi khi Man City vô địch Champions League,1
"Mỹ nhân khiến Ngô Diệc Phàm vào tù bất ngờ đóng phim, dân tình ngán ngẩm: ""Ngày tàn của showbiz đã tới!""",1
Sevilla sinh ra để làm 'trùm' ở Europa League,1
Nhiều đội bóng may mắn khi được gặp Chelsea,1
Durex bắt trend Ngô Diệc Phàm quá nhạy,1
Bê bối '2 phút hơn' của Ngô Diệc Phàm: Đàn ông 2 phút có bình thường?,1
"SGDD ""tuyển trúng"" phóng viên VTV và cái kết",1
Lương tối thiểu đối đầu mức sống tối thiểu,1
Một liệu trình giúp người bệnh lên tiên,1
'SEA Games cuộc đời' vô cùng gay cấn,1
Người thu nhập thấp méo mặt với định luật vạn vật hấp dẫn,1
"Vụ kit test Việt Á: Một đồng không nhận, chỉ nhận một đống",1
Giá cả và cuộc đua... xa bờ,1
Team 'Không nhận đồng nào' lo sốt vó,1
Vì một sân vận động không... giấy vệ sinh,1
Trực tiếp bán kết 'Xăng games',1
Đu đỉnh bắt đáy,1
Du lịch ngày nay: Cả khách và chủ đều 'phòng thủ',1
Xếp hạng người đàn ông khỏe nhất khu phố,1
Nội soi quan chức 'trong sạch',1
Chiếc xe máy còn nguyên sau vụ trộm kỳ lạ,1
Bi hài chuyện học bơi trên giấy,1
Mặt hàng thời thượng vừa khỏe vừa vui,1
Tài xế công nghệ tắt app hay chạy bộ,1
Chiếc nệm hơi đa năng,1
Tết thiếu nhi đi chơi đâu?,1
Cô bé quàng khăn đỏ phiên bản 2022,1
Ông ăn gì mà phải vào đây?,1
Triệu đóa hồng... có gai,1
"Tình yêu và giá xăng: Nhất cự ly, nhì tốc độ",1
'Liều thuốc' nào cho quan tham,1
FA cũng bị 'bồ' đá,1
"Xe máy nhập viện vì giá xăng tăng kỷ lục, giảm kỳ cục",1
"Nhà làm, nhà bán chứ nhà không ăn!",1
"Xưa kia bà đẹp nhất trần, ngày nay học bạ muôn phần đẹp hơn!",1
Sếp thực hiện 'an toàn thực phẩm' khi sắp hưu,1
Rượu đa năng tiết kiệm chi phí ăn nhậu,1
Vị hiệu trưởng mất ngủ với câu hỏi khó về tiền bàn ghế,1
"Đi làm quá áp lực, người đàn ông bỏ việc bằng cách trốn vào rừng",1
Không thất nghiệp nhưng chẳng có việc làm,1
"Cô gái đi cao gót được chồng bế lên máy bay, netizen tranh cãi",1
Mãi mãi là bao lâu? Hôn nhân của Song - Song đã khiến fan ngôn tình khóc nghẹn vì câu trả lời: Là 2 năm thôi!,1
"Mãi mãi là bao lâu? Là 2 năm, 4 năm!",1
Khi con nít rành ngoại ngữ hơn tiếng mẹ đẻ,1
"'Đầu vào' lọt top ẩm thực, còn 'đầu ra' thì sao?",1
Dự án xây cầu đôi bờ,1
Kinh doanh vận tải gặp 'hố sâu' đăng kiểm,1
"Người nổi tiếng ""say quyền lực"", dân mạng ""say quyền trừng phạt""",1
5 lần 7 lượt câu view lộ liễu mà giờ ông Nawat phán xét: 'Tôi chẳng quan tâm đến lượt theo dõi',1
"Sự xấu xí của đội Hà Nội: Thắng nhờ trọng tài sai thì không sao, thua phản ứng",1
"Muốn không làm mà vẫn có tiền tiêu, người đàn ông kết hôn 4 lần và ly hôn 3 lần trong một tháng",1
Bảo hiểm 'chỉ thấy đóng vào',1
Xúc động theo mẫu,1
Phán xét 'nghèo vì thiếu nỗ lực',1
Phán xét phụ nữ mặc sexy,1
Trấn Thành lại khóc và sự bội thực chuyện người yêu cũ ở show hẹn hò,1
"Công an ập vào chung cư, phòng trọ phát hiện cảnh tượng kinh hoàng của 7 'nam thanh nữ tú'",1
"Thiếu tiền tiêu xài, 'công chúa váy trắng' ở Sơn La trộm tiệm vàng",1
Ralf Rangnick: MU cứ chơi như thắng Brentford đã không đến nỗi...,1
"Những ""chuyến tàu địa ngục"": Cơn ác mộng chưa có hồi kết của người Hàn Quốc mỗi giờ cao điểm",1
Quà cảm ơn hơn 30 tỷ đồng cho quan chức giáo dục Quảng Ninh để 'thông thầu',1
"3 án tử hình, 1 chung thân cho những kẻ gieo rắc cái chết trắng",1
Quan chức giáo dục Quảng Ninh nhận 'quà cảm ơn' 30 tỷ đồng thế nào,1
"Người đàn ông gây sốc khi để vợ nuôi 100%, còn xin thêm nhân tình 100 triệu",1
"Cha mẹ tỷ phú bất ngờ qua đời, phú nhị đại ""ngốn"" hết hơn 164 tỷ đồng thừa kế rồi trở thành người vô gia cư: Muốn con thành nhân thì trao cần câu chứ đừng cho cá",1
Phim The Idol có nội dung hạ thấp phụ nữ,1
"Xuất hiện nữ chính gây thất vọng nhất hiện nay, là Ảnh hậu nhưng diễn không nổi vì vai quá khó?",1
Loạt mỹ nhân thất bại khi lấn sân đóng phim,1
"Chi Dân và những lần ""lầm lỡ"": Bị chỉ trích vì hành động kém duyên trên mạng tới lùm xùm nghiêm trọng đến mức phải khóc lóc xin lỗi",1
Vì sao kiểu catwalk của Vũ Thu Phương bị chỉ trích làm lố?,1
"Cầm bằng thạc sĩ nhưng làm phục vụ ở quán cafe: Giới trẻ Trung Quốc rộ trào lưu nghỉ việc văn phòng để chọn công việc “vô lo vô nghĩ”, mặc kệ sự đời",1
"Tuấn Hưng bất ngờ đăng clip biểu diễn của ERIK, khẳng định 'ăn đứt' đàn em?",1
Con trai trùm giải trí Hong Kong quấn quýt vợ sau bê bối tình ái,1
"Để mất Messi, Barca còn lừa dối tất cả đến bao giờ",1
Di sản của Messi có bị hoen ố khi sang đội bét bảng tại Mỹ?,1
Nghi án con trai 'ngáo đá' sát hại cha đẻ,1
Đâm chết ‘con nợ’ và khiến 1 người bị thương vì số tiền 650 triệu đồng,1
Kane có xứng đáng để Real Madrid chi 115 triệu euro?,1
Mbappe đang phá hỏng kế hoạch của PSG,1
YouTuber nối tiếng Hàn Quốc gây sốc vì mắng chửi người yêu cũ,1
"Công thức nói dối, lừa đảo của KOL đời đầu",1
Nam diễn viên Ezra Miller không dám trả lời phỏng vấn vì loạt bê bối,1
Từ Khai Sính bị xóa mặt vì dính phốt ngoại tình với Cổ Lực Na Trát,1
Chip ‘nội địa’ Trung Quốc bị tố là Intel trá hình,1
Người Mỹ đánh mất lòng tin vào Tesla,1
Bí mật khiến Apple sắp phải trả giá ở nước Pháp,1
Nhóm nhạc Kpop tài năng nhưng nhiều tranh cãi,1
Nghị sĩ 'siêu nói dối' vừa bị bắt ở Mỹ là ai,1
"Vios vẫn ngừng bán tại Thái Lan, chủ tịch Toyota nói 'xe đủ an toàn'",1
Toyota xin lỗi nhưng không triệu hồi xe sau bê bối gian lận Daihatsu,1
"Vừa công khai tình mới, Trần Phi Vũ lại vướng bê bối khiến sự nghiệp ảnh hưởng nghiêm trọng",1
Đội bóng nghiệp dư gửi lời 'thách đấu' tuyển Trung Quốc,1
"Tuyển Trung Quốc: Không có gì ngoài tiền, thua Việt Nam vì thiếu người như bầu Đức!",1
"Miss Universe Philippines xuất hiện đầy căng thẳng, sụt giảm phong độ sau khi lộ quá khứ bê bối",1
'Myanmar hay Lào cũng có thể thắng tuyển Trung Quốc trong tương lai',1
Loạt phim bế tắc vì bê bối của diễn viên,1
Bê bối tình dục trong 'nhà tù êm ái nhất' ở Anh,1
Học sinh đến trường bằng... máy bay trực thăng,1
"Bảo Hà khoe sắc vóc rực rỡ bên H’Hen Niê, Tiểu Vy tại Ý",1
"Bị cướp giật dây chuyền, người phụ nữ vẫn cười tươi",1
Sự trở lại của thánh hài xiếc với những skill đỉnh cao,1
Thầy giáo giải '1 + mấy = bao nhiêu' vô cùng thuyết phục,1
Phụ huynh bàn chuyện học đại học,1
Chuyên gia Michelin âm thầm đánh giá quán hủ tiếu bình dân,1
NSND Bạch Tuyết bắt tay Wowy làm gì đây?,1
Ảnh vui 18-6: Bao người phải 'trông gà hóa cuốc'!,1
Cái giá của sự liều lĩnh khi idol đóng phim: Hai thành viên Blackpink bị fan quay lưng?,1
Ảnh chế tràn ngập sau khi Michelin không 'chiều lòng' người Việt,1
Cô gái không màng siêu xe,1
Trường đại học cam kết 100% sinh viên có việc làm,1
Đòi nợ thuê theo phong cách nghệ sĩ,1
Nhân viên 'giãy đành đạch' không chịu đi làm quá 4 ngày/tuần,1
"'Lộ mặt thật', YouTuber bị chê... xấu trai đến mức tức á!",1
Ảnh vui 17-6: Anh Tây diện áo xe ôm công nghệ để đu trend?,1
Cô gái đang làm MC bất ngờ được bạn trai cầu hôn,1
Bé trai giật mình khi thấy mẹ 'tàng hình' vào phòng,1
Chàng trai nhảy hip hop khi trượt chân ngã,1
Ngỗng ấp trứng công nghệ cao,1
Bé gái đánh vần 'đúng công thức nhưng sai kết quả',1
Phân loại rác thải: Việc nhỏ nhưng lợi ích lớn,1
Chồng lấy áo vợ mặc vì tưởng là quần,1
Con trai được bố hậu thuẫn cho đi đá bóng khi bị mẹ cấm,1
Thủ môn cản penalty thành công bị đồng đội báo hại thủng lưới,1
Tuổi 30 rực rỡ như pháo hoa của Chi Pu,1
Vì sao gọi là răng khôn?,1
"Mũi vaccine số 4: nên, không nên ""lụi""?",1
Những tác hại của thuốc lá - phần 2,1
Những tác hại của thuốc lá - Phần 1,1
"Nắn xương gọn mặt bằng tay, vui tày gang mà hệ lụy kể không hết",1
Kích thích não sâu để điều trị bệnh Parkinson,1
Lắm chuyện cái mũi...,1
"Covid-19 tự biến mất, hay không  bằng hên?",1
Chi phí điều trị người mắc bệnh máu khó đông là 10 triệu đồng/ngày,1
"Điều gì sẽ xảy ra nếu chúng ta không có móng tay, móng chân?",1
Việt Nam cần có luật cụ thể về nuôi chó dữ như pitbull,1
"Những vụ chó pitbull phản chủ, cắn chết người",1
Cuộc chiến chống chó hoang: Liệu Ấn Độ có thể ra khỏi... ngõ cụt? (Kỳ 2),1
Làng Ngao Sò kiểm tra năng lực,1
Cô gái sút penalty nhẹ hều nhưng vẫn xâu kim được thủ môn,1
Kỳ lạ túi xách hàng hiệu siêu mini chỉ nhìn thấy bằng kính hiển vi,1
Muốn lên máy bay thì phải... thay quần!,1
Thảm đỏ Met Gala náo loạn vì một vị khách 'không mời mà đến',1
Muốn 'đăng xuất' vì đăng kiểm!,1
"Đứt cáp, mất trí khôn!",1
Loài gà trong vũ trụ măng cụt,1
Những lần họ kiếm tiền,1
Chuẩn mực của cái đẹp,1
Thuê người yêu qua mạng xã hội,1
Bảo hiểm...hiểm họa ra sao?,1
Người cá - cá người,1
Mùa Halloween và những con ma 'lạ mà quen',1
Dịch vụ chụp hình bằng điện thoại nở rộ ,1
Cuộc thi tốc độ,1
Hào quang rực rỡ - The King ,1
Anh da nâu dùng 13 tiếng để xem lại các video 'điểm tuần' và cái kết ,1
Tiêu tiền Lẻ - mất tiền Tỷ,1
Đúng nhận sai cãi,1
"Thiết bị ""tiết kiệm điện"" với ""bộ lòng"" siêu tiết kiệm ",1
Trí khôn của ta đây,1
Nhiều người luyện giọng hát để hát Karaoke tự tin ,1
Khi bạo lực 'tấn công' thành tích ,1
Khoe con: Con mình là số 2 thì không ai số 1,1
Cấp điện và cắt điện luân phiên ,1
"Messi từ bỏ bóng đá đỉnh cao ở tuổi 35, sớm hơn Ronaldo ba năm",1
"Ăn cơm nước mắm, nói chuyện thế giới ",1
Tin chuẩn chưa anh?,1
Bán rẻ những thứ không thuộc về mình,1
Cường quốc vàng mã,1
Bệnh của bệnh viện,1
Ronaldo về Ả Rập để dưỡng già,1
Lukaku với 'đôi chân gỗ' của mình,1
"Hỏi nam, đáp bắc",1
Đội tuyển Đức như 'những chiếc xe tăng rỉ xích',1
Khiếu nại với trọng tài chẳng khác gì nói chuyện với lò vi sóng,1
"Nhiều cầu thủ Việt Nam đi chơi, uống bia sau khi ăn, tập",1
"Tránh vỏ dưa, gặp vỏ dừa",1
Bị đuổi việc vì không tụ tập sau giờ làm,1
Trình độ diễn xuất của Neymar như 'sao Hollywood',1
Những cú sút như 'bắn chim' của các tiền đạo,1
Giá xăng dầu: Tìm thấy động lực đi lên,1
Đội tuyển châu Âu không thắng 129 trận liên tiếp,1
Quang Hải qua Pháp và màn thể hiện trong '3 phút',1
"Con nhà lính, tính nhà quan",1
Ukraine nên cài báo thức để xem 'Nga xâm lược',1
Tuyển Việt Nam được hưởng 'quả 11m bí ẩn',1
Màn diễn của Neymar,1
Ronaldo là gánh nặng của hàng công,1
Không thích tiền thì thích gì?,1
Southgate hứng chỉ trích vì triệu tập Maguire,1
Hazard dẫn đầu giải 'Cầu thủ tệ nhất',1
'Mạng bẩn' đe dọa mọi lứa tuổi,1
Vỉa hè 'độ bền 70 năm'... tự vỡ dù không có tác động vật lý,1
"Vừa thắng MU 7-0 xong, Liverpool lại thua đội trụ hạng",1
"Công Phượng lập công, U23 Việt Nam vẫn thua CLB Hải Phòng",1
"Hòa đội xếp 156 thế giới, tuyển Thái Lan bị chê quá dễ để bắt bài",1
Chuyện tình 'cá mập' và 'búp bê',1
Đòi nợ thuê theo phong cách nghệ sỹ,1
Tuyển sinh lớp 1 'căng' như đại học,1
Quan chức bị bệnh gì lạ ghê,1
"Trời hanh vật khô, cẩn thận … cắt điện",1
"Thất thoát lãng phí: Cùng làm cùng hưởng, cùng đường vô … lao",1
Thái Lan bị Đài Loan cầm hòa dù giữ bóng 76%,1
Võ sư thời cúp điện luân phiên,1
Gà mẹ cấm con chơi … măng cụt,1
Vé số dạo tạo doanh thu ngàn tỷ,1
Ông Mặt trời nung nóng toàn cầu,1
Bệnh viện: Đất lành … cò đậu,1
Bóng đá nam: Chiếc huy chương vàng 'kinh hoàng' nhất SEA Games,1
Gửi tiết kiệm bị 'hô biến' thành bảo hiệm nhân thọ,1
Người dân vào siêu thị né hóa đơn tiền điện … 6 múi,1
Chống nóng mà tưởng Cô-vít ghé thăm,1
Mối liên hệ giữa phong thủy và phong bì ,1
Bảo hiểm … hiểm hóc ra sao?,1
Tiktok: Clip ngắn hại dài,1
Cảm lạnh vì mùa nóng,1
"Cố gắng lên, rồi con sẽ giỏi tiếng mẹ đẻ như... tiếng Anh",1
Quá chủ quan nên bị ông Mặt trời giật tung người,1
Đảo hoang Robinson bị quá tải sau trận Đức thua Nhật,1
"'Cây xăng' gọi vốn, các shark chạy mất dép",1
Đĩa bay hết... xăng,1
"Cuối tuần trời mưa, đắp mền ngủ cho sướng",1
Du khách chơi 'nhảy dây' với giá vé máy bay,1
Chuyện về những vỉa hè rộng... tày gang,1
Ông già Noel chạy té khói vì dương lịch dí âm lịch,1
Đi nhậu bằng xe đạp để né đo nồng độ cồn,1
Nhập viện vì bị 'tra tấn' qua điện thoại,1
Thợ sửa xe lầy lội 'đỡ đẻ' cho ô tô,1
Cường quốc hoa hậu,1
10 giải thích vui cho việc 'bội thực' thi hoa hậu,1
Lạ lùng người đàn ông làm lễ cầu... đừng mưa,1
Cuộc chiến' ô tô điện gay cấn ngay từ khâu 'cấy' trạm sạc,1
Thần y' bị sao sỏi thận chiếu mệnh,1
"Thất thoát lãng phí: Cùng làm cùng hưởng, cùng đường vô... lao",1
Bộ phim live-action 'Lò đào tạo... mùa hè',1
"Gỏi gà măng cụt: Giải quyết việc làm, ông bà tá hỏa",1
Xe buýt hệ... Fast & Furious,1
Cuộc chiến giữa nhà mặt tiền và xe ô tô,1
"Cá chép cúng ông Táo bị hành hạ, hết bay nổi!",1
Người đàn ông giả chết để 'xem có ai khóc thương',1
Chú chó giả chết để ăn vạ bất thành,1
"Chàng trai chạy vào sân ôm Messi, cười mãn nguyện khi bị an ninh bắt",1
Bị đuổi việc vì không tham gia team building,1
5 trò team building 'không cần cởi' vẫn vui như thường,1
Loạt biểu cảm chào đời 'thấy ghét' của những bé sơ sinh,1
